Date,forest - Sentinel 2 - LAI
06-07-2015,3.32
16-07-2015,3.24
02-08-2015,3.16
05-08-2015,2.76
12-08-2015,1.67
25-08-2015,0.47
03-12-2015,0.78
02-01-2016,0.72
19-01-2016,1.12
12-03-2016,0.69
22-03-2016,0.38
01-05-2016,1.61
08-05-2016,2.15
28-05-2016,2.57
07-06-2016,3.01
10-07-2016,3.06
20-07-2016,2.62
16-08-2016,2.67
26-08-2016,2.09
08-09-2016,2.38
15-09-2016,1.92
18-09-2016,1.7
25-09-2016,1.94
28-09-2016,1.96
04-12-2016,0.94
14-12-2016,0.54
27-12-2016,0.83
03-01-2017,0.92
26-01-2017,1.03
02-02-2017,0.63
15-02-2017,0.79
27-03-2017,1.01
06-05-2017,1.67
16-05-2017,2.6
26-05-2017,3.37
02-06-2017,3.34
05-06-2017,2.53
25-06-2017,3.55
05-07-2017,2.75
07-07-2017,3.43
10-07-2017,1.51
22-07-2017,2.3
26-08-2017,1.64
29-08-2017,2.57
31-08-2017,2.54
03-09-2017,2.33
05-09-2017,1.1
18-09-2017,1.39
23-09-2017,2.18
25-09-2017,2.26
28-09-2017,2.08
15-10-2017,1.66
18-10-2017,1.5
23-10-2017,0.6
30-10-2017,0.73
04-11-2017,1.12
07-11-2017,1.34
14-11-2017,0.28
22-11-2017,1.1
27-12-2017,0.54
05-02-2018,0.75
07-02-2018,0.78
17-02-2018,0.55
22-02-2018,0.99
25-02-2018,1.03
27-02-2018,0.9
04-03-2018,0.65
24-03-2018,0.99
06-04-2018,0.82
18-04-2018,1.02
21-04-2018,1.31
23-04-2018,1.75
03-05-2018,2.66
06-05-2018,2.89
08-05-2018,3.04
11-05-2018,3.25
16-05-2018,2.09
18-05-2018,2.48
26-05-2018,3
28-05-2018,3.12
15-06-2018,2.84
20-06-2018,3.37
27-06-2018,3.36
30-06-2018,3.38
02-07-2018,3.43
12-07-2018,2.85
15-07-2018,3.21
17-07-2018,2.81
22-07-2018,2.98
25-07-2018,2.63
27-07-2018,2.63
01-08-2018,2.75
06-08-2018,2.89
19-08-2018,1.58
26-08-2018,2.34
05-09-2018,0.87
18-09-2018,2.25
25-09-2018,1.83
30-09-2018,2.31
08-10-2018,2.02
10-10-2018,1.94
13-10-2018,1.6
02-11-2018,1.41
17-11-2018,1.11
22-11-2018,0.79
04-12-2018,0.74
17-12-2018,0.37
22-12-2018,0.62
15-02-2019,1
25-02-2019,0.95
27-02-2019,0.82
19-03-2019,0.86
22-03-2019,0.98
29-03-2019,0.9
01-04-2019,0.87
11-04-2019,1.07
13-04-2019,0.77
16-04-2019,0.83
18-04-2019,1.03
21-04-2019,1.38
11-05-2019,2.41
13-05-2019,2.99
18-05-2019,2.89
28-05-2019,2.6
02-06-2019,3.28
10-06-2019,2.9
17-06-2019,3.42
22-06-2019,3.18
27-06-2019,3.23
05-07-2019,3.41
25-07-2019,2.55
04-08-2019,2.42
14-08-2019,2.64
24-08-2019,2.86
26-08-2019,2.85
31-08-2019,2.19
08-09-2019,2.45
10-09-2019,2.57
15-09-2019,2
20-09-2019,2.23
13-10-2019,1.42
18-10-2019,2.02
23-10-2019,0.26
25-10-2019,1.26
28-10-2019,1.59
19-11-2019,0.93
22-11-2019,1.08
04-12-2019,0.75
06-01-2020,0.87
16-01-2020,0.88
18-01-2020,1.19
21-01-2020,0.82
26-01-2020,0.76
05-02-2020,0.27
07-02-2020,0.83
16-03-2020,0.38
18-03-2020,0.81
23-03-2020,0.92
26-03-2020,0.98
28-03-2020,0.69
31-03-2020,0.59
05-04-2020,1.04
07-04-2020,0.89
10-04-2020,1.06
12-04-2020,0.9
17-04-2020,1.29
20-04-2020,1.72
22-04-2020,1.93
25-04-2020,1.36
27-04-2020,2.24
05-05-2020,3.15
07-05-2020,3.17
15-05-2020,3.41
20-05-2020,3.33
27-05-2020,2.77
30-05-2020,3.5
01-06-2020,3.41
06-06-2020,2.08
21-06-2020,1.87
24-06-2020,3.38
26-06-2020,2.98
14-07-2020,2.2
29-07-2020,2.8
31-07-2020,3.13
05-08-2020,3.05
08-08-2020,2.9
13-08-2020,0.94
15-08-2020,1.81
18-08-2020,2.15
02-09-2020,2.19
07-09-2020,2.7
09-09-2020,2.46
12-09-2020,2.44
14-09-2020,2.5
17-09-2020,2.55
19-09-2020,2.11
22-09-2020,2.25
24-09-2020,2.32
29-09-2020,1.61
09-10-2020,2.15
19-10-2020,1.87
03-11-2020,1.23
06-11-2020,1.36
18-11-2020,0.98
21-11-2020,0.82
28-11-2020,0.82
18-12-2020,0.75
12-01-2021,0.12
09-02-2021,0.97
11-02-2021,1.33
14-02-2021,1.49
24-02-2021,0.81
26-02-2021,0.63
01-03-2021,0.94
03-03-2021,0.43
06-03-2021,0.94
08-03-2021,0.84
28-03-2021,0.55
31-03-2021,0.9
17-04-2021,0.9
22-04-2021,1.03
25-04-2021,1.17
27-04-2021,1.13
05-05-2021,1.62
12-05-2021,1.35
30-05-2021,3.27
01-06-2021,3.29
06-06-2021,2.11
09-06-2021,2.54
14-06-2021,3.53
16-06-2021,3.26
19-07-2021,2.61
21-07-2021,3.04
29-07-2021,3.17
08-08-2021,1.38
25-08-2021,2.77
28-08-2021,3.06
02-09-2021,2.69
07-09-2021,2.25
24-09-2021,2.3
04-10-2021,1.01
09-10-2021,2.26
24-10-2021,2.02
27-10-2021,1.28
29-10-2021,1.4
01-11-2021,1